question,answer,score
Q1：一天當中，通常什麼時候你的心情是最好的？,"早上,下午及傍晚,夜裡","2,4,6"
Q2：你平常走路的速度？,"步伐很大、頻率較快,步伐很小、頻率較快,走的不快、頭往上看,走的不快、頭往下看,很慢","6,4,7,2,1"
Q3：和別人交談時，你的姿態通常是？,"雙手交疊站立,雙手緊握,一支手或雙手放在臀部,觸碰與你交談的對象,不自覺摸著耳朵、下巴或是整理頭髮","4,2,5,7,6"
Q4：睡覺之前，通常你的床上姿勢為何？,"仰躺、伸直,俯躺、伸直,側躺、微捲,頭睡在一側手臂上,被子蓋過頭","7,6,4,2,1"
Q5：做夢時的你，常常遇見什麼？,"落下,打架或掙扎,找東西找人,飛或漂浮,平常不太做夢,做夢都是愉快的夢","4,2,3,5,6,1"
Q6：當你坐著休息時，你的姿態通常是？,"膝蓋併攏,雙腿交叉,雙推伸直,單腿盤在椅子上","4,6,2,1"
Q7：下列顏色中，你較喜歡哪色？,"紅或橘色,黑色,黃色或淺藍色,綠色,紫色或深藍色,白色,棕色或灰色","6,7,5,4,3,2,1"
Q8：當你專心在做某件事，但被人打斷了，你通常會怎麼做？,"歡迎他，與他對話,非常厭惡,在上述兩者之間","6,2,4"
Q9：當你出席公司派對或是朋友KTV聚會等場所，你通常以什麼形式入場？,"很大聲入場，引起大家注意,安靜入場，找你認識的人,極安靜入場，盡量不引起注意","6,4,2"
Q10：當你遇到開心的事情時，你的笑聲通常是？,"類似欣賞的大笑,笑著、聲音不大,輕聲呵呵笑,羞怯的微笑","6,4,3,5"
